_id,name,brand,hex,type,formula[0].base,formula[1].base,formula[2].base,formula[3].base,formula[4].base,formula[5].base,formula[6].base,formula[7].base,formula[8].base,formula[9].base,formula[10].base,formula[11].base,formula[0].quantity,formula[1].quantity,formula[2].quantity,formula[3].quantity,formula[4].quantity,formula[5].quantity,formula[6].quantity,formula[7].quantity,formula[8].quantity,formula[9].quantity,formula[10].quantity,formula[11].quantity,__v,manufacturer,tags[0],tags[1],tags[2],brands[0],brands[1],brands[2],brands[3],manufacture
65e87b9d75f168374cbc0b1f,Preto PU Puro,Farben,#000,Acrilico,65ea0d7b88af5449465bf4e4,,,,,,,,,,,,300,,,,,,,,,,,,0,,,,,,,,,
65e87b9d75f168374cbc0b37,Vermelho Ferrara,Lazzuril,#540406,Poliester,,,,,,,,,,,,,,,,,,,,,,,,,0,Iveco,,,,,,,,
65e87b9e75f168374cbc0b75,Prata Artico,Farben,#c3c6cb,Poliester,664ba52c141b36233cc192c7,65f81f8b21502206e1869fda,65ea0c5acaee68804da3dfb4,65ea0f9b88af5449465bf508,65ea0cda88af5449465bf4d4,65ea0d9588af5449465bf4e8,,,,,,,1000,240,24.6,1.7,6,5,,,,,,,0,Scania,,,,,,,,
65e87b9e75f168374cbc0b7b,Azul Caribe,Farben,#87b3d8,Poliester,65ea0cf588af5449465bf4d8,65ea0450e3fddb288cb30d8b,65f820b9ae3e279cf0b2a253,660da5271f715b0f8ef7880c,65f81f8b21502206e1869fda,65ea105788af5449465bf510,65ea0d9588af5449465bf4e8,662a7f23b2a5c05f0ccfaaef,,,,,141.6,326,30,487,323,21.5,15.2,9,,,,,0,Scania,,,,,,,,
65e87ba075f168374cbc0bcb,Vermelho Hero,PPG,#e21919,Acrilico,65ea0e3988af5449465bf4ec,65ea0cbc88af5449465bf4d0,6620073ab18ad27a975a662b,,,,,,,,,,81,156,5.9,,,,,,,,,,,Scania,herois,65,,,,,,
65e87ba175f168374cbc0c01,Rose Gold,PPG,#e8c0c0,Poliester,,,,,,,,,,,,,,,,,,,,,,,,,0,,IVECO,,,65e87ba175f168374cbc0bfe,,,,
65e87ba175f168374cbc0c16,Roxo Perolizado,PPG,#8632a0,Poliester,65ea107388af5449465bf514,6620073ab18ad27a975a662b,65ea105788af5449465bf510,662c0f78683ab0b861cdb382,65ea03c1e3fddb288cb30d87,65f820b9ae3e279cf0b2a253,662287df995b20f4fcc4f3d4,65ea01b0ccec70770504976a,65ea0d9588af5449465bf4e8,,,,334,12,70.1,237,300,157,4,64,19.9,,,,0,Volvo,l6111.1491,,,,,,,
65e87ba175f168374cbc0c1c,Azul Mistral,Farben,#1b6979,Poliester,65ea0c15caee68804da3dfac,65ea02c3fd35a7ec8989460d,65ea0d9588af5449465bf4e8,664ba583141b36233cc192cc,65ea01b0ccec70770504976a,664b9fcc141b36233cc19115,65ea0c5acaee68804da3dfb4,65ea0cf588af5449465bf4d8,65f81fd221502206e1869fde,,,,140,30,233,91,4,140,10,130,202,,,,0,Volvo,2603BLUE,,,,,,,
65e87ba275f168374cbc0c40,Vermelho Ruby,Farben,#750406,Poliester,65f8213606bf9ed72aefbd4f,65f8200421502206e1869fe2,660da5b52fd6df2c5cc9e6c2,65ea0e5788af5449465bf4f0,662287df995b20f4fcc4f3d4,65ea01b0ccec70770504976a,65ea0d7b88af5449465bf4e4,65f81f8b21502206e1869fda,,,,,1032,132,225,281,242,75,5,73,,,,,0,Scania,,,,,,,,
65e87ba475f168374cbc0c95,Vermelho Pimenta,Farben,#ce0a26,Poliuretano,65e87b69cb7a1ff3d9a824ce,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824e2,,,,,,,,,,126,16,28,,,,,,,,,,0,,,,,65e87ba475f168374cbc0c92,65e87ba275f168374cbc0c37,,,
