idx	uniCode	nome	categoriaAtual	marca	qtd	ppeType
1		Rebite Rosca Lisa	(sem)	Genérico	1200	
2		Soquete Sextavado 16 Longo	(sem)	Genérico	2	
3	002	Garrafa Quadrada	Material/REGULAR	Genérico	30	
4	UC296	Vermelho Transparente	Pigmento/REGULAR	Farben	6.9878	
5	UC619	Perolizado Lilas	Pigmento/REGULAR	Farben	7.701	
6		Calça - 42	Epi/PPE	Via Grafit	0	PANTS
7		Ouro Villa Rica	Tinta/REGULAR	Lazzuril	1	
8	AC172	Amarelo Ouro	Pigmento/REGULAR	Farben	3.5093999999999994	
9		Luva Neoprene - M	(sem)	Volk	31	GLOVES
10		Soquete Sextavado 15 Longo	(sem)	Genérico	2	
11	550-15	Copo Pistola de Pintura	Ferramenta/TOOL	Pdr	28	
12	4800.300	Prata Vinilico Brilhante	Tinta/REGULAR	Saturno	10	
13	25x4,2mm	Parafuso Philips Brocante flangeado	Material/REGULAR	Vila	500	
14		Soquete Hexagonal 7	Ferramenta/TOOL	Gedore	0	
15		Calça - 48	Epi/PPE	Via Grafit	4	PANTS
16	DG-10	Bico de Ar	Ferramenta/TOOL	Steels	6	
17		Espatula Feltro	(sem)	Genérico	5	
18	543.010	Verniz Pu Auto S/FO (900ml)	Verniz/REGULAR	Farben	2	
19	GWS -8 LI5	Esmerilhadeira Bat/11.000rpm	Ferramenta/TOOL	Bosch	1	
20	43612	Combinada Speedy 16	Ferramenta/TOOL	Sata	1	
21	08780	Aditivo Anticratera	(sem)	Lazzuril	13	
22	UC624	Xirallic Galaxy Blue	Pigmento/REGULAR	Farben	1	
23	0068	Acelerador de Secagem	Endurecedor/REGULAR	Lazzuril	0	
24		Bermuda - 36	Epi/PPE	Via Grafit	1	
25		Soquete Sextavado 12 Longo	(sem)	Genérico	1	
26		Camisa - GG	Epi/PPE	Via Grafit	8	SHIRT
27	PRO-300	Martelete Pneumatico	(sem)	Genérico	1	
28	ph2s2	kit Bits Phhillips	Ferramenta/TOOL	Gross	1	
29		Aplicador Calafetador Manual	Ferramenta/TOOL	Genérico	1	
30		Galocha - 41	Epi/PPE	Kadesh	1	RAIN_BOOTS
31		Soquete Sextavado 13 Longo	(sem)	Genérico	1	
32	7 degraus	Escada de Alumínio	Ferramenta/TOOL	Outra	4	
33		Pistola Pintura K3	(sem)	Genérico	4	
34	REB40-04M	Manômetro	Peça/REGULAR		13	
35		Botina Reposição - 37	Epi/PPE	Kadesh	0	BOOTS
36	651 #049	Adesivo Vinil King Blue	Material/REGULAR	Oracal	20.5	
37		Pacote Papel Higiênico c/ 8 unidades	Cozinha/REGULAR	Pop	7	
38	F390.05	Verniz	Verniz/REGULAR	PPG	0	
39	H0010	Endurecedor Verniz Fosco	Endurecedor/REGULAR	Lazzuril	37	
40	113.0050	Clear Pu	Base/REGULAR	Farben	3	
41	3,5m x 2,5cm	Cinta Catraca Pequena	Ferramenta/TOOL	Genérico	1	
42	3/8	Extensor p/ Soquete pequeno	Ferramenta/TOOL	Robustec	1	
43	T-27	Chave Torx 27	Ferramenta/TOOL		1	
44	8937	Verniz	Verniz/REGULAR	Lazzuril	18	
45		Chave Catraca Grande	Ferramenta/TOOL	Gedore	1	
46	DWE300-	Serra Tico Tico	Ferramenta/TOOL	Dewalt	1	
47		Chave Catraca Media	Ferramenta/TOOL	Gedore	1	
48		Espatula Celuloide	(sem)	Lazzuril	0	
49	UC269	Vermelho Intenso	Pigmento/REGULAR	Farben	4.123999999999998	
50	Preta- s/pó	Caixa Luva Nitrílica G	Epi/PPE	Bompack	3	GLOVES
51		Adesivo Preto Jateado	Material/REGULAR	Altak	20	
52	UC580	Solução Ajuste Metalico	Pigmento/REGULAR	Farben	16.304999999999986	
53	271	Trava Rosca	Ferramenta/TOOL	Loctite	1	
54	RE40-04	Regulador de Pressão	(sem)	Vortex	36	
55	651 #010	Adesivo Vinil White	Material/REGULAR	Oracal	12	
56		Garra Jacaré 600a	Ferramenta/TOOL	Genérico	2	
57	AC177	Azul	Pigmento/REGULAR	Farben	4.384799999999994	
58		Lixa Hookit P320	Abrasivos/REGULAR	3M	500	
59	Branca c/pó	Caixa Luva Látex-M	Epi/PPE	Bompack	1	GLOVES
60	19x4,2mm	Parafuso philips Brocante Flangeado	Material/REGULAR	Genérico	208	
61	UC609	Perolizado Vermelho Graudo	Pigmento/REGULAR	Farben	15.874300000000002	
62	GWS-9	Esmerilhadeira	Ferramenta/TOOL	Bosch	1	
63		Creme Desengraxante	Consumível/REGULAR	Mavaro	1	
64	UC268	Vermelho Scarlat Transparente	Pigmento/REGULAR	Farben	4.994	
65	Direita 	Faixa Refletiva 3M .	Material/REGULAR	3M	40	
66		Combinada 16	Ferramenta/TOOL	Gedore	0	
67		Soquete Sextavado 8	(sem)	Genérico	1	
68		Bermuda - 48	Epi/PPE	Gourmet	5	SHORT
69	702	Rebite Rosca Sextavado 630	(sem)	Genérico	200	
70		Parafuso Allen M06 X 0,40	(sem)	Genérico	100	
71	513.030	Prime PU P/plas 1k (3,6L)	Pigmento/REGULAR	Farben	10	
72		Combinada Catraca 12	Ferramenta/TOOL	Gedore	0	
73		Botina Reposição - 39	Epi/PPE	Kadesh	2	BOOTS
74		Botina Reposição - 41	Epi/PPE	Kadesh	3	BOOTS
75		Botina Reposição - 35	Epi/PPE	Kadesh	0	BOOTS
76	536.8540	 Acrilico Preto Cadillac	Base/REGULAR	Farben	22	
77		Alicate Pressão	Ferramenta/TOOL	Gedore	2	
78		Chave Biela L12	Ferramenta/TOOL	Gedore	0	
79		Soquete Sextavado 9	(sem)	Genérico	1	
80	UC273	Amarelo Limpo	Pigmento/REGULAR	Farben	7.7737	
81	A4	Pacote Papel Sulfite	(sem)	Report	0	
82	1/2	Extensão P/ Soquete Pequeno	Ferramenta/TOOL	Gedore	1	
83	33-9	Rebite de Repuxo 630	(sem)	Genérico	200	
84		Bermuda - 44	Epi/PPE	Gourmet	7	SHORT
85		Parafuso Sextavado Inox 5/16x1	(sem)	Genérico	100	
86	P/	Banqueta Dobravel	(sem)	Vonder	0	
87		Parafuso Sextavado Inox 5/16 X 7/8	(sem)	Genérico	100	
