"idx","nome","categoria","subcategoria","grupoContabil","confianca"
"1","Rebite Rosca Lisa","Peças, Fixação e Conexões","Fixadores — rebites","PRODUTIVO › Peças","alta"
"2","Soquete Sextavado 16 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"3","Garrafa Quadrada","Aplicadores e Auxiliares de Mistura","Copos, potes e baldes de mistura","PRODUTIVO › Consumíveis de aplicação","media"
"4","Vermelho Transparente (UC296)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"5","Perolizado Lilas (UC619)","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"6","Calça - 42","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"7","Ouro Villa Rica","Matéria-Prima — Tintas e Toners (Cor)","Tintas e bases prontas (acrílico, sintético, base coat)","MATÉRIA-PRIMA › Tintas","alta"
"8","Amarelo Ouro (AC172)","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"9","Luva Neoprene - M","EPI — Equipamentos de Proteção Individual","Proteção das mãos — luvas reutilizáveis","EPI","alta"
"10","Soquete Sextavado 15 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"11","Copo Pistola de Pintura","Ferramentas Elétricas/Pneumáticas e Equipamentos","Pistolas de pintura e aerografia","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"12","Prata Vinilico Brilhante (4800.300)","Matéria-Prima — Tintas e Toners (Cor)","Linha vinílica de plotagem (tintas, vernizes e solvente)","MATÉRIA-PRIMA › Tintas","alta"
"13","Parafuso Philips Brocante flangeado 25x4,2mm","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças","alta"
