_id,serial_number,general_painting,entry_date,term,started_at,finished_at,team,status,brand,__v,comission,observations.annotation,observations._id,files[0].url,files[1].url,files[2].url,files[3].url,files[0].type,files[1].type,files[2].type,files[3].type,description,colors[0],colors[1],colors[2],colors[3],colors[4],colors[5],colors[6],colors[7],colors[8],colors[9],observations.images[0].url,observations.images[1].url,observations.images[2].url,observations.images[3].url,observations.images[4].url,observations.images[5].url,observations.images[6].url,observations.images[7].url,observations.images[8].url,observations.images[9].url,observations.images[10].url,observations.images[0].type,observations.images[1].type,observations.images[2].type,observations.images[3].type,observations.images[4].type,observations.images[5].type,observations.images[6].type,observations.images[7].type,observations.images[8].type,observations.images[9].type,observations.images[10].type,service_order[0].name,service_order[1].name,service_order[2].name,service_order[3].name,service_order[4].name,service_order[5].name,service_order[6].name,service_order[7].name,service_order[0].done,service_order[1].done,service_order[2].done,service_order[3].done,service_order[4].done,service_order[5].done,service_order[6].done,service_order[7].done,service_order[0]._id,service_order[1]._id,service_order[2]._id,service_order[3]._id,service_order[4]._id,service_order[5]._id,service_order[6]._id,service_order[7]._id
65e87b9075f168374cbc07fb,RPM-7F84,,2023-07-17,2023-08-01T17:00,2023-07-17T07:15,2023-08-02T09:21,Equipe 1,Finalizado,65e87b9075f168374cbc07f9,0,1,,669fd949bde8fadf67506310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9075f168374cbc0800,29605,,2023-07-26,2023-07-31T13:00,2023-07-26T04:15,2023-07-31T21:00,Equipe 1,Finalizado,65e87b9075f168374cbc07fe,0,1,,669fd949bde8fadf67506311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9075f168374cbc0805,29802,,2023-07-27,2023-07-31T08:55,2023-07-27T13:26,2023-07-31T10:55,Equipe 1,Finalizado,65e87b9075f168374cbc0803,0,1,,669fd949bde8fadf67506312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9175f168374cbc080a,FVB-8144,,2023-07-28,2023-08-03T14:00,2023-07-28T04:15,2023-08-03T14:39,Equipe 2,Finalizado,65e87b9175f168374cbc0808,0,1,,669fd949bde8fadf67506313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9175f168374cbc080f,29951,,2023-07-28,2023-07-31T14:00,2023-07-28T04:15,2023-07-31T14:00,Equipe 2,Finalizado,65e87b9175f168374cbc080d,0,1,,669fd949bde8fadf67506314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9175f168374cbc0814,29952,,2023-08-01,2023-08-02T11:00,2023-08-01T07:57,2023-08-02T06:36,Equipe 2,Finalizado,65e87b9175f168374cbc0812,0,1,,669fd949bde8fadf67506315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9175f168374cbc0819,29903,,2023-08-02,2023-08-03T09:00,2023-08-02T11:09,2023-08-03T09:59,Equipe 1,Finalizado,65e87b9175f168374cbc0817,0,1,,669fd949bde8fadf67506316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9175f168374cbc081e,29902,,2023-07-31,2023-08-07T13:00,2023-08-01T08:30,2023-08-07T13:36,Equipe 1,Finalizado,65e87b9175f168374cbc081c,0,1,,669fd949bde8fadf67506317,https://firebasestorage.googleapis.com/v0/b/ankaa-files.appspot.com/o/pdfs%2F48a04543-7dce-4c6e-9073-26628f392d21?alt=media&token=93a1aead-64d7-4543-9f1d-970654dfe734,https://firebasestorage.googleapis.com/v0/b/ankaa-files.appspot.com/o/pdfs%2F465ea763-b07e-478c-9f9d-ff12a85325da?alt=media&token=07d335d3-96f7-484c-b5db-f5c84a2895ca,,,application/pdf,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9175f168374cbc0823,0,,2023-07-31,2023-08-16T14:00,2023-08-14T05:16,2023-08-18T04:25,Equipe 2,Finalizado,65e87b9b75f168374cbc0a8b,0,1,,669fd949bde8fadf67506318,,,,,,,,,P.G ROSA POL SEMI-REBOQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65e87b9175f168374cbc0828,29698,,2023-08-01,2023-08-02T13:00,2023-08-01T08:24,2023-08-02T11:11,Equipe 1,Finalizado,65e87b9175f168374cbc0826,0,1,,669fd949bde8fadf67506319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
